x y
1.474302940262440491e+11 1.801094400000000000e+10
1.430756455617487488e+11 3.575496269062686920e+10
1.365549439052706604e+11 5.295767925564611816e+10
1.279237835977840271e+11 6.934193411487792969e+10
1.172763565818630829e+11 8.463325825143922424e+10
1.047464077778754120e+11 9.856604809091738892e+10
9.050701625877822876e+10 1.108902575843901978e+11
7.476900450986962891e+10 1.213783399998272400e+11
5.777784995835536194e+10 1.298320982436360779e+11
3.980907370487562561e+10 1.360890513632290192e+11
2.116220286205310059e+10 1.400279086114554443e+11
2.153531070372726440e+09 1.415727698030119019e+11
-1.689198120367711639e+10 1.406957438893955078e+11
-3.564923730535497284e+10 1.374177908072266388e+11
-5.380149293844642639e+10 1.318077309504202271e+11
-7.104833717229586792e+10 1.239795129051919556e+11
-8.711275772553654480e+10 1.140879627989481659e+11
-1.017469791043797760e+11 1.023233402006380310e+11
-1.147368822953042450e+11 8.890508492623731995e+10
-1.259049399611477051e+11 7.407515340711401367e+10
-1.351117149931660156e+11 5.809131710855840302e+10
-1.422560609339500122e+11 4.122073888419075012e+10
-1.472742241282561951e+11 2.373406864070465088e+10
-1.501380789347226562e+11 5.900219497089321136e+09
-1.508527325927457275e+11 -1.201809028841770172e+10
-1.494537214671544800e+11 -2.976800926142613220e+10
-1.460039922306010742e+11 -4.710946871184507751e+10
-1.405908264403293762e+11 -6.381740813666777039e+10
-1.333228300501441650e+11 -7.968339731184667969e+10
-1.243270743084160004e+11 -9.451675213013055420e+10
-1.137464434417443390e+11 -1.081452426807176514e+11
-1.017372185484622040e+11 -1.204154872675165405e+11
-8.846690640400286865e+10 -1.311931174698851929e+11
-7.411230603399057007e+10 -1.403627887379088135e+11
-5.885779426082360077e+10 -1.478280996787028198e+11
-4.289380317933489990e+10 -1.535114719786128235e+11
-2.641545687917997742e+10 -1.573540322990578308e+11
-9.621331001676870346e+09 -1.593155276793543701e+11
7.287703684603412628e+09 -1.593742969709059143e+11
2.410959402427159882e+10 -1.575273124643667908e+11
4.064221479947537231e+10 -1.537902979132760315e+11
5.668451840825577545e+10 -1.481979213090026245e+11
