x y
1.496000000000000000e+11 0.000000000000000000e+00
1.485151470131220093e+11 1.801094400000000000e+10
1.452764639944292603e+11 3.576068560503414154e+10
1.399313340185284729e+11 5.299191247403171539e+10
1.325579175451400909e+11 6.945502845992364502e+10
1.232639510671763000e+11 8.491185332645585632e+10
1.121850960592836609e+11 9.913913628925016785e+10
9.948286804246827698e+10 1.119318276384237823e+11
8.534218268796755981e+10 1.231060578198083038e+11
6.996856202310469055e+10 1.325017794040963593e+11
5.358504885119515228e+10 1.399850341558323975e+11
3.642888138022232056e+10 1.454498147106821899e+11
1.874798274087914658e+10 1.488194979602981873e+11
7.973215778565940857e+08 1.500478349169644165e+11
-1.716479972707668304e+10 1.491194893890452271e+11
-3.488047330813385773e+10 1.460501250709373474e+11
-5.209587624687165833e+10 1.408860474949384460e+11
-6.856487127501730347e+10 1.337034135970541077e+11
-8.405246888949929810e+10 1.246070273379083405e+11
-9.833810558317019653e+10 1.137287448501638794e+11
-1.112186968371697235e+11 1.012255169420897217e+11
-1.225114277195042419e+11 8.727710048636543274e+10
-1.320562482821972656e+11 7.208347329848168945e+10
-1.397180453589432678e+11 5.586198961054336548e+10
-1.453884667705437012e+11 3.884431523419924927e+10
-1.489873783020802307e+11 2.127318304528355026e+10
-1.504639380999235229e+11 3.399010575829528809e+09
-1.497972773429096680e+11 -1.452357767633155060e+10
-1.469967801804242554e+11 -3.223928006692581940e+10
-1.421019600225543518e+11 -4.949565630414495850e+10
-1.351819333432483978e+11 -6.604663111049008942e+10
-1.263344962488827209e+11 -8.165591969047586060e+10
-1.156848132023812408e+11 -9.610033204821296692e+10
-1.033837315013717346e+11 -1.091729138722000580e+11
-8.960573940142129517e+10 -1.206858826948089142e+11
-7.454659015124707031e+10 -1.304733193966140442e+11
-5.842061864720416260e+10 -1.383935769238114319e+11
-4.145778188036278534e+10 -1.443313703860291138e+11
-2.390045878060077286e+10 -1.481995155647518616e+11
-6.000049376180614471e+09 -1.499402863439292603e+11
1.198658271833524323e+10 -1.495263657144632568e+11
2.980077671853257751e+10 -1.469613698235938416e+11
4.718579894291072083e+10 -1.422799300339723206e+11
6.389057122846291351e+10 -1.355473240911853027e+11
7.967334786796119690e+10 -1.268586542058887634e+11
9.430528443375537109e+10 -1.163375770368132629e+11
1.075738418527716522e+11 -1.041345980796139221e+11
1.192859702079813385e+11 -9.042495065908357239e+10
1.292710190280907898e+11 -7.540608739805279541e+10
1.373833243164457397e+11 -5.929481948599245453e+10
1.435044272456531677e+11 -4.232414607451517487e+10
1.475448852435338440e+11 -2.473982246636536789e+10
1.494456430096653442e+11 -6.796721230801765442e+09
1.491789386770691223e+11 1.124495521489645386e+10
1.467487286791520996e+11 2.912354882511230087e+10
1.421906236758098450e+11 4.657984334869886780e+10
1.355713368918845673e+11 6.336092088560388947e+10
1.269876551737875366e+11 7.922391444645875549e+10
1.165649517264428406e+11 9.393959569617826843e+10
1.044552676175156860e+11 1.072957406620563202e+11
9.083499651898144531e+10 1.191002209433169861e+11
7.590221362144599915e+10 1.291837737049834900e+11
5.987369506912853241e+10 1.374024102789111938e+11
4.298167853297122192e+10 1.436394303163350525e+11
