x y
1.496000000000000000e+11 0.000000000000000000e+00
1.485164523426359863e+11 1.796740661781547928e+10
1.452814839018470459e+11 3.567453408390992737e+10
1.399418752240910034e+11 5.286485438795381165e+10
1.325748498128592834e+11 6.928928739587976074e+10
1.232869687211020050e+11 8.470979325722257996e+10
1.122126042613890381e+11 9.890280886807595825e+10
9.951201382761778259e+10 1.116624795566618652e+11
8.536904041111245728e+10 1.228036398260559540e+11
6.998847167543862915e+10 1.321645002836768951e+11
5.359309435948160553e+10 1.396090017816096802e+11
3.642048523919929504e+10 1.450288022502389221e+11
1.871958382823420715e+10 1.483448666865672913e+11
7.470953719533271790e+08 1.495086362059641113e+11
-1.723622457210199738e+10 1.485027579209388123e+11
-3.496935062729013062e+10 1.453413636027291870e+11
-5.219477851711548615e+10 1.400698915319138184e+11
-6.866227123563195038e+10 1.327644525652675476e+11
-8.413250557535881042e+10 1.235307481424338074e+11
-9.838056522678733826e+10 1.125025546261037445e+11
-1.111992286013491669e+11 9.983979490704365540e+10
-1.224020022864734192e+11 8.572622450167254639e+10
-1.318258545902784271e+11 7.036676531590257263e+10
-1.393336079316165466e+11 5.398452573792268372e+10
-1.448159538196733093e+11 3.681755065293746948e+10
-1.481930597717583313e+11 1.911534925084856033e+10
-1.494157436497067566e+11 1.135252040314941406e+09
-1.484661974532722473e+11 -1.686134878059542084e+10
-1.453582494814915161e+11 -3.461281957082073975e+10
-1.401371608408994141e+11 -5.186110910604212952e+10
-1.328789594184411926e+11 -6.835551898928981781e+10
-1.236893215209432526e+11 -8.385636441117765808e+10
-1.127020182874199371e+11 -9.813847082208259583e+10
-1.000769505851664581e+11 -1.109944547086949615e+11
-8.599780229280001831e+10 -1.222377401111426697e+11
-7.066934755051078796e+10 -1.317052667060307159e+11
-5.431445262942066956e+10 -1.392598501336000061e+11
-3.717081746183177185e+10 -1.447921606712715759e+11
-1.948750552128679276e+10 -1.482222922503461914e+11
-1.521313600756607056e+09 -1.495009000713524780e+11
1.646696491994960403e+10 -1.486098915875412598e+11
3.421632851337804413e+10 -1.455626622862750244e+11
5.146935246079608154e+10 -1.404038743978372803e+11
6.797591556319609070e+10 -1.332087832981620178e+11
8.349681505548338318e+10 -1.240821228499774475e+11
9.780721812903884888e+10 -1.131565671571698151e+11
1.106999011225584106e+11 -1.005907921095168152e+11
1.219882307392324677e+11 -8.656716559799659729e+10
1.315088455298897552e+11 -7.128910032246908569e+10
1.391240002827355957e+11 -5.497810764049556732e+10
1.447235408142318726e+11 -3.787059487389466095e+10
1.482264818944623413e+11 -2.021445186190271759e+10
1.495821665952934265e+11 -2.265475297519847870e+09
1.487709911519551697e+11 1.571631851547401428e+10
1.458046854097083740e+11 3.347044040941633224e+10
1.407261450187373047e+11 5.073968176381855774e+10
1.336088176742853546e+11 6.727382165557832336e+10
1.245556518074348297e+11 8.283323541776861572e+10
1.136976221468552246e+11 9.719235354623602295e+10
1.011918524251072083e+11 1.101429218290929108e+11
8.721936112618200684e+10 1.214970161613280334e+11
7.198246149512368774e+10 1.310897687244973145e+11
5.570185198708728027e+10 1.387817660325414124e+11
3.861343785381002045e+10 1.444610837347127075e+11
