x y
1.496000000000000000e+11 0.000000000000000000e+00
1.485151470131220093e+11 1.801094400000000000e+10
1.452764639944292603e+11 3.576068560503414154e+10
1.399313340185284729e+11 5.299191247403171539e+10
1.325579175451400909e+11 6.945502845992364502e+10
1.232639510671763000e+11 8.491185332645585632e+10
1.121850960592836609e+11 9.913913628925016785e+10
9.948286804246829224e+10 1.119318276384237823e+11
8.534218268796757507e+10 1.231060578198083038e+11
6.996856202310470581e+10 1.325017794040963593e+11
5.358504885119517517e+10 1.399850341558323975e+11
3.642888138022234344e+10 1.454498147106821899e+11
1.874798274087917709e+10 1.488194979602981873e+11
7.973215778566322327e+08 1.500478349169644165e+11
-1.716479972707663345e+10 1.491194893890452271e+11
-3.488047330813380432e+10 1.460501250709373779e+11
-5.209587624687159729e+10 1.408860474949384766e+11
-6.856487127501724243e+10 1.337034135970541382e+11
-8.405246888949923706e+10 1.246070273379083710e+11
-9.833810558317012024e+10 1.137287448501639099e+11
-1.112186968371696320e+11 1.012255169420897522e+11
-1.225114277195041351e+11 8.727710048636546326e+10
-1.320562482821971588e+11 7.208347329848170471e+10
-1.397180453589431458e+11 5.586198961054337311e+10
-1.453884667705435791e+11 3.884431523419924927e+10
-1.489873783020801086e+11 2.127318304528353882e+10
-1.504639380999234009e+11 3.399010575829505920e+09
-1.497972773429095154e+11 -1.452357767633158493e+10
-1.469967801804240723e+11 -3.223928006692586517e+10
-1.421019600225541382e+11 -4.949565630414501953e+10
-1.351819333432481537e+11 -6.604663111049015808e+10
-1.263344962488824310e+11 -8.165591969047592163e+10
-1.156848132023809052e+11 -9.610033204821302795e+10
-1.033837315013713531e+11 -1.091729138722001038e+11
-8.960573940142086792e+10 -1.206858826948089447e+11
-7.454659015124661255e+10 -1.304733193966140442e+11
-5.842061864720365906e+10 -1.383935769238114014e+11
-4.145778188036224365e+10 -1.443313703860290527e+11
-2.390045878060020065e+10 -1.481995155647517700e+11
-6.000049376180011749e+09 -1.499402863439291382e+11
1.198658271833586502e+10 -1.495263657144630737e+11
2.980077671853320694e+10 -1.469613698235935974e+11
4.718579894291135406e+10 -1.422799300339720154e+11
6.389057122846353149e+10 -1.355473240911849213e+11
7.967334786796177673e+10 -1.268586542058883209e+11
9.430528443375592041e+10 -1.163375770368127441e+11
1.075738418527721558e+11 -1.041345980796133575e+11
1.192859702079817810e+11 -9.042495065908296204e+10
1.292710190280911713e+11 -7.540608739805215454e+10
1.373833243164460602e+11 -5.929481948599179077e+10
1.435044272456534119e+11 -4.232414607451449585e+10
1.475448852435340271e+11 -2.473982246636468506e+10
1.494456430096654358e+11 -6.796721230801086426e+09
1.491789386770691528e+11 1.124495521489711761e+10
1.467487286791520691e+11 2.912354882511293793e+10
1.421906236758097534e+11 4.657984334869946289e+10
1.355713368918844147e+11 6.336092088560444641e+10
1.269876551737873383e+11 7.922391444645925903e+10
1.165649517264425812e+11 9.393959569617871094e+10
1.044552676175153809e+11 1.072957406620567017e+11
9.083499651898110962e+10 1.191002209433173065e+11
7.590221362144563293e+10 1.291837737049837494e+11
5.987369506912813568e+10 1.374024102789113922e+11
4.298167853297080231e+10 1.436394303163351746e+11
